scene,fov,our,nerf,fovea
1.00,45.00,0.54,0.46,0.55
1.00,50.00,0.54,0.45,0.58
1.00,55.00,0.55,0.45,0.60
1.00,60.00,0.56,0.45,0.62
1.00,65.00,0.55,0.45,0.63
1.00,70.00,0.56,0.45,0.64
1.00,75.00,0.56,0.45,0.65
1.00,80.00,0.56,0.45,0.67
1.00,85.00,0.57,0.45,0.68
1.00,90.00,0.57,0.46,0.69
1.00,95.00,0.57,0.45,0.69
1.00,100.00,0.57,0.46,0.70
1.00,105.00,0.57,0.46,0.70
1.00,5.00,0.07,0.59,0.00
1.00,10.00,0.13,0.60,0.12
1.00,15.00,0.26,0.54,0.24
1.00,20.00,0.31,0.50,0.32
1.00,25.00,0.37,0.48,0.39
1.00,30.00,0.42,0.46,0.42
1.00,35.00,0.46,0.45,0.47
1.00,40.00,0.50,0.45,0.51
1.00,45.00,0.52,0.45,0.54
1.00,50.00,0.54,0.45,0.57
1.00,55.00,0.54,0.44,0.59
1.00,60.00,0.55,0.44,0.61
1.00,65.00,0.55,0.45,0.62
1.00,70.00,0.56,0.46,0.64
1.00,75.00,0.57,0.46,0.65
1.00,80.00,0.57,0.47,0.66
1.00,85.00,0.57,0.47,0.67
1.00,90.00,0.57,0.47,0.68
1.00,95.00,0.56,0.47,0.68
1.00,100.00,0.56,0.47,0.68
1.00,105.00,0.56,0.47,0.69
2.00,5.00,0.77,0.29,0.01
2.00,10.00,0.81,0.31,0.09
2.00,15.00,0.80,0.35,0.20
2.00,20.00,0.79,0.35,0.26
2.00,25.00,0.80,0.38,0.33
2.00,30.00,0.82,0.40,0.36
2.00,35.00,0.83,0.41,0.40
2.00,40.00,0.84,0.42,0.42
2.00,45.00,0.85,0.42,0.44
2.00,50.00,0.85,0.41,0.47
2.00,55.00,0.86,0.41,0.49
2.00,60.00,0.86,0.41,0.51
2.00,65.00,0.86,0.42,0.52
2.00,70.00,0.86,0.41,0.53
2.00,75.00,0.85,0.41,0.53
2.00,80.00,0.84,0.42,0.54
2.00,85.00,0.83,0.42,0.54
2.00,90.00,0.82,0.42,0.55
2.00,95.00,0.81,0.42,0.55
2.00,100.00,0.80,0.42,0.55
2.00,105.00,0.79,0.42,0.55
2.00,5.00,0.61,0.43,0.01
2.00,10.00,0.72,0.43,0.14
2.00,15.00,0.73,0.35,0.20
2.00,20.00,0.73,0.35,0.28
2.00,25.00,0.75,0.34,0.35
2.00,30.00,0.78,0.34,0.39
2.00,35.00,0.80,0.34,0.41
2.00,40.00,0.82,0.33,0.42
2.00,45.00,0.83,0.33,0.44
2.00,50.00,0.83,0.33,0.47
2.00,55.00,0.82,0.34,0.48
2.00,60.00,0.81,0.34,0.49
2.00,65.00,0.80,0.34,0.48
2.00,70.00,0.79,0.34,0.48
2.00,75.00,0.78,0.35,0.47
2.00,80.00,0.76,0.35,0.46
2.00,85.00,0.74,0.35,0.46
2.00,90.00,0.72,0.35,0.45
2.00,95.00,0.71,0.35,0.45
2.00,100.00,0.69,0.35,0.44
2.00,105.00,0.67,0.35,0.43
2.00,5.00,0.06,0.12,0.00
2.00,10.00,0.15,0.20,0.06
2.00,15.00,0.27,0.26,0.17
2.00,20.00,0.35,0.33,0.24
2.00,25.00,0.40,0.36,0.30
2.00,30.00,0.46,0.38,0.33
2.00,35.00,0.50,0.38,0.36
2.00,40.00,0.52,0.39,0.38
2.00,45.00,0.52,0.39,0.39
2.00,50.00,0.53,0.40,0.42
2.00,55.00,0.52,0.40,0.44
2.00,60.00,0.52,0.40,0.46
2.00,65.00,0.50,0.39,0.46
2.00,70.00,0.50,0.40,0.47
2.00,75.00,0.49,0.40,0.48
2.00,80.00,0.47,0.39,0.47
2.00,85.00,0.47,0.39,0.47
2.00,90.00,0.46,0.39,0.46
2.00,95.00,0.45,0.39,0.46
2.00,100.00,0.43,0.38,0.45
2.00,105.00,0.43,0.38,0.44
2.00,5.00,0.15,0.21,0.01
2.00,10.00,0.21,0.32,0.11
2.00,15.00,0.30,0.37,0.21
2.00,20.00,0.34,0.37,0.30
2.00,25.00,0.36,0.35,0.34
2.00,30.00,0.38,0.32,0.36
2.00,35.00,0.40,0.30,0.39
2.00,40.00,0.41,0.30,0.41
2.00,45.00,0.41,0.29,0.42
2.00,50.00,0.42,0.30,0.42
2.00,55.00,0.43,0.30,0.43
2.00,60.00,0.44,0.31,0.43
2.00,65.00,0.45,0.32,0.43
2.00,70.00,0.44,0.32,0.41
2.00,75.00,0.43,0.33,0.40
2.00,80.00,0.42,0.33,0.38
2.00,85.00,0.41,0.33,0.37
2.00,90.00,0.39,0.33,0.37
2.00,95.00,0.38,0.33,0.36
2.00,100.00,0.36,0.32,0.35
2.00,105.00,0.35,0.32,0.34
2.00,5.00,0.22,0.30,0.01
2.00,10.00,0.23,0.28,0.08
2.00,15.00,0.32,0.36,0.19
2.00,20.00,0.37,0.36,0.24
2.00,25.00,0.40,0.35,0.30
2.00,30.00,0.47,0.39,0.36
2.00,35.00,0.50,0.40,0.40
2.00,40.00,0.54,0.41,0.42
2.00,45.00,0.54,0.41,0.44
2.00,50.00,0.55,0.41,0.47
2.00,55.00,0.56,0.41,0.49
2.00,60.00,0.56,0.41,0.51
2.00,65.00,0.55,0.40,0.52
2.00,70.00,0.55,0.41,0.53
2.00,75.00,0.54,0.41,0.54
2.00,80.00,0.53,0.41,0.54
2.00,85.00,0.53,0.41,0.54
2.00,90.00,0.52,0.41,0.54
2.00,95.00,0.52,0.41,0.54
2.00,100.00,0.51,0.41,0.54
2.00,105.00,0.51,0.41,0.55
2.00,5.00,0.46,0.52,0.00
2.00,10.00,0.38,0.44,0.14
2.00,15.00,0.32,0.37,0.20
2.00,20.00,0.30,0.35,0.28
2.00,25.00,0.33,0.35,0.34
2.00,30.00,0.40,0.35,0.38
2.00,35.00,0.44,0.34,0.41
2.00,40.00,0.45,0.33,0.43
2.00,45.00,0.45,0.33,0.44
2.00,50.00,0.46,0.33,0.47
2.00,55.00,0.47,0.33,0.48
2.00,60.00,0.47,0.34,0.49
2.00,65.00,0.47,0.35,0.49
2.00,70.00,0.47,0.35,0.49
2.00,75.00,0.46,0.35,0.48
2.00,80.00,0.45,0.34,0.48
2.00,85.00,0.45,0.35,0.47
2.00,90.00,0.45,0.34,0.46
2.00,95.00,0.44,0.34,0.46
2.00,100.00,0.43,0.34,0.45
2.00,105.00,0.42,0.34,0.44
2.00,5.00,0.07,0.06,0.00
2.00,10.00,0.18,0.21,0.06
2.00,15.00,0.26,0.27,0.16
2.00,20.00,0.35,0.34,0.24
2.00,25.00,0.40,0.36,0.28
2.00,30.00,0.44,0.39,0.32
2.00,35.00,0.47,0.38,0.36
2.00,40.00,0.51,0.40,0.38
2.00,45.00,0.52,0.40,0.39
2.00,50.00,0.53,0.40,0.42
2.00,55.00,0.54,0.41,0.44
2.00,60.00,0.54,0.41,0.46
2.00,65.00,0.53,0.40,0.46
2.00,70.00,0.52,0.40,0.48
2.00,75.00,0.51,0.40,0.48
2.00,80.00,0.50,0.40,0.48
2.00,85.00,0.49,0.39,0.48
2.00,90.00,0.48,0.39,0.48
2.00,95.00,0.47,0.39,0.47
2.00,100.00,0.46,0.39,0.47
2.00,105.00,0.45,0.38,0.46
2.00,5.00,0.19,0.20,0.00
2.00,10.00,0.25,0.35,0.11
2.00,15.00,0.31,0.41,0.20
2.00,20.00,0.37,0.41,0.30
2.00,25.00,0.38,0.39,0.33
2.00,30.00,0.40,0.35,0.36
2.00,35.00,0.42,0.34,0.39
2.00,40.00,0.43,0.33,0.41
2.00,45.00,0.42,0.31,0.42
2.00,50.00,0.42,0.31,0.42
2.00,55.00,0.43,0.31,0.43
2.00,60.00,0.44,0.31,0.43
2.00,65.00,0.44,0.32,0.43
2.00,70.00,0.44,0.32,0.43
2.00,75.00,0.43,0.33,0.42
2.00,80.00,0.42,0.33,0.40
